station_a,station_b,distance_km
Wien_Matzleinsdorf,Wien_Matzleinsdorfer_Platz,0.687466868359074
W.Mat.-Laxenburg,Wien_Matzleinsdorf,1.2113686872784586
AB__-_Fi_A1,Hirt_Lst,0.45313535430123403
Hirt_Lst,Micheldorf-Hirt,0.44554765074318786
AB__-_Fi_A1,Sbl Fi 1 [BSTS_ID=438],0.35893905154444933
Abzww_Knoten_Rohr_Ost,Knoten_Rohr,1.0625087841130203
Abzww_Knoten_Rohr_Ost,Gro_Sierning,0.30124598088252913
Abzww_Knoten_Rohr_Ost,Ust_Pd_2,1.2011222322025439
Knoten_Rohr,Loosdorf,3.233475491190223
Abzww_Knoten_Rohr_West,Knoten_Rohr,1.184385188565357
Gro_Sierning,Knoten_Rohr,0.7626747512634416
Knoten_Rohr,Sbl Wat 8 [BSTS_ID=5310295],1.5897516056553218
AB_-_Fws_A4L,Klein_Neusiedl_Lst,1.3499831218039153
AB_-_Fws_A2,Klein_Neusiedl_Lst,1.3428167322853848
AB_-_Fws_A4L,"EK_km_17,388",1.0032018202471238
Kuchl,Kuchl_Lst,0.411685636162283
Kuchl_Lst,Sbl Hl 4 [BSTS_ID=350],0.7436196334172551
Kuchl,Sbl Hl 5 [BSTS_ID=847],0.5109417994497253
Goisern_Jodschwefelbad,Lauffen [BSTS_ID=600],1.8337859553682767
Bad_Goisern,Goisern_Jodschwefelbad,2.1218711739106846
Bad_Ischl_Frachtenbf,Lauffen [BSTS_ID=600],3.47403941149643
Guntramsdorf-Kaiserau_Haltestelle,Mollersdorf_Aspangbahn,1.8264927852342863
Guntramsdorf-Kaiserau,Guntramsdorf-Kaiserau_Haltestelle,0.4144649819394297
Mollersdorf_Aspangbahn,Traiskirchen_Aspangbahn,1.459305593773785
Hobersdorf,Sierndorf,2.1964561308432917
Oberolberndorf,Sierndorf,1.6905956606273864
Hobersdorf,Sbl Si 1 [BSTS_ID=1471],2.222035313972801
Weikirchen,Zeltweg,3.853466431603616
AB__-_Zg_A2,Zeltweg,1.5618972646750575
Spielberg,Zeltweg,3.749030518502276
Judenburg,Zeltweg,6.6505997352795285
Eppenstein_Lst,Weikirchen,3.154872310108877
AB__-_Bal_A2,Hst außer Betrieb (Bal_H1) [BSTS_ID=125],0.23295079811393332
AB__-_Bal_A1,Hst außer Betrieb (Bal_H1) [BSTS_ID=125],0.24400175138021077
AB__-_Bal_A2,Twimberg,3.6837013475023594
AB__-_Ss_A1,Abzw_Ss_1,0.2284656043493834
AB__-_Ss_A1,Schonwies,2.4521704493595116
Abzw_Ss_1,Landeck-Zams,5.657477391181626
Ust_Hf_22,Wien_Weidlingau,0.3718953910527317
Ust_Hf_22,Wien_Hadersdorf,0.3261428256269497
Purkersdorf_Sanatorium,Wien_Weidlingau,0.9954902126781877
Allerheiligen-Murzhofen,St.Marein-St.Lorenzen,2.4965640471799007
Allerheiligen-Murzhofen,Sbl Ki 1 [BSTS_ID=1035],0.872113773171684
AB__-_Mas_A1A,St.Marein-St.Lorenzen,1.8002373566822791
Selzthal,Selzthal-Nord,1.6715737815209792
Ardning,Selzthal-Nord,3.900146479636933
